location_id,location_name,date,wind_speed,wind_unit,wind_direction,gust_speed,session
LOC06,"Cabarete, Dominican Rep.",Jul 28 2024,4.8 km/h,km/h,45°,3.0,morning
LOC07,DAKHLA,28/04/2024,18.0 knots,knots,north,23.8,afternoon
LOC03,"Tarifa, Spain",26 Jan 2024,42.2 km/h,km/h,northeast,29.9,afternoon
LOC09,Garda,20 May 2023,5,beaufort,315°,22.9,morning
LOC07,DAKHLA,2023-10-29,11.7,knots,270°,14.5,morning
LOC02,"Jericoacoara, Brazil",2023-12-14,24.0,knots,45°,27.4,allday
LOC02,Jeri,31 May 2024,19.8,knots,135°,23.9,allday
LOC03,Tarifa,29 Oct 2024,5,beaufort,135,22.7,afternoon
LOC03,TARIFA,May 05 2023,7.6 m/s,m/s,southeast,20.1,afternoon
LOC05,Cape Town,2024-08-01,18.9 m/s,m/s,south,50.7,allday
LOC01,"Cumbuco, Brazil",Jul 19 2024,18.2,knots,N,21.6,allday
LOC07,Dakhla,Feb 27 2024,10.5,knots,NE,7.5,morning
LOC07,Dakhla,01/16/2024,11.5 m/s,m/s,south,28.1,afternoon
LOC09,Garda,2024-02-19,10.3 m/s,m/s,SW,26.7,morning
LOC02,jericoacoara,01/17/2024,38.9 km/h,km/h,east,26.5,allday
LOC07,"Dakhla, Morocco",18/08/2024,7.6 knots,knots,NE,10.5,morning
LOC05,"Cape Town, South Africa",Apr 12 2023,5,beaufort,90,20.7,allday
LOC07,Dakhla,19 Dec 2023,2,beaufort,225°,14.6,morning
LOC02,Jeri,06 Nov 2024,19.2,knots,W,21.2,allday
LOC04,"Maui, Hawaii",2023-07-12,11.8,knots,270,15.7,allday
LOC08,Guajiru,2023-04-12,24.5 knots,knots,southwest,29.8,allday
LOC05,Cape Town,Mar 16 2024,7,beaufort,45°,33.5,allday
LOC10,boracay,28/09/2024,8.5 m/s,m/s,N,21.4,allday
LOC06,Cabarete,Feb 12 2023,14.6 km/h,km/h,NE,10.4,morning
LOC08,Guajiru,23 Apr 2024,4,beaufort,90°,20.0,allday
LOC08,Ilha Guajiru,03/23/2024,0.0,knots,270,28.0,allday
LOC07,DAKHLA,14/06/2024,18.3 knots,knots,east,22.9,afternoon
LOC10,"Boracay, Philippines",19 May 2024,14.4,knots,southeast,17.6,allday
LOC09,Garda,14 Mar 2024,17.1 knots,knots,north,19.1,afternoon
LOC06,Cabarete,2023-07-26,47.4 km/h,km/h,west,30.4,afternoon
LOC04,Maui,29/07/2023,22.6 knots,knots,southwest,30.9,allday
LOC10,Boracay,19/11/2024,4,beaufort,S,,allday
LOC05,capetown,Apr 17 2024,21.2 m/s,m/s,315°,56.5,allday
LOC04,"Maui, Hawaii",08/01/2023,24.8 knots,knots,W,34.3,allday
LOC02,jericoacoara,02/06/2023,43.3 km/h,km/h,north,27.8,allday
LOC09,Lago di Garda,2023-01-20,4,beaufort,west,19.6,morning
LOC09,Lago di Garda,Feb 17 2024,48.3 km/h,km/h,90°,31.9,morning
LOC05,"Cape Town, South Africa",12/28/2024,10,beaufort,0,,allday
LOC07,"Dakhla, Morocco",Dec 13 2024,17.2,knots,SW,20.0,morning
LOC02,jericoacoara,31 Jan 2023,0.0,knots,270°,21.6,allday
LOC01, Cumbuco,Nov 18 2023,6,beaufort,NE,,allday
LOC06,cabarete,Aug 19 2023,30.0 km/h,km/h,135,21.7,afternoon
LOC07,DAKHLA,23 Jul 2024,33.2 km/h,km/h,NW,16.1,afternoon
LOC09,Lago di Garda,2023-04-26,24.5 knots,knots,southwest,30.5,morning
LOC02,Jeri,2024-05-08,19.1,knots,southwest,24.8,allday
LOC08,Ilha Guajiru,23/08/2024,11.0 m/s,m/s,E,13.4,allday
LOC08,"Ilha do Guajiru, Brazil",12/04/2024,11.7 m/s,m/s,270°,13.2,allday
LOC06,cabarete,03/02/2024,37.0 km/h,km/h,northeast,,afternoon
LOC07,"Dakhla, Morocco",May 12 2024,21.9 km/h,km/h,northwest,6.9,morning
LOC06,Cabarete,2023-08-28,18.5 km/h,km/h,135,13.2,morning
LOC09,Garda,2023-10-25,7,beaufort,north,29.5,morning
LOC05,"Cape Town, South Africa",02/08/2024,20.9,knots,135,26.2,allday
LOC07,DAKHLA,Oct 21 2023,11.6 m/s,m/s,north,25.0,afternoon
LOC04,maui,Sep 16 2024,6,beaufort,south,25.5,allday
LOC05,capetown,2023-08-06,28.7 knots,knots,S,37.3,allday
LOC07,Dakhla,02/18/2023,9.1 m/s,m/s,southwest,22.6,morning
LOC02,jericoacoara,21/02/2024,41.7 km/h,km/h,225°,30.3,allday
LOC06,cabarete,07/28/2024,18.9 knots,knots,west,21.7,afternoon
LOC10,"Boracay, Philippines",23/05/2024,3,beaufort,135°,,allday
LOC10,Boracay,Feb 26 2023,4,beaufort,W,19.0,allday
LOC02,Jeri,12 Dec 2023,21.5,knots,NE,26.6,allday
LOC04,Maui,Apr 28 2024,8.0 m/s,m/s,southeast,17.3,allday
LOC06,Cabarete,2024-11-02,1,beaufort,90,8.3,morning
LOC09,Lago di Garda,01/02/2023,4,beaufort,NE,18.8,afternoon
LOC09,"Lake Garda, Italy",21 Aug 2024,29.4 km/h,km/h,90,20.0,afternoon
LOC07,DAKHLA,01/06/2023,4.8 m/s,m/s,225°,11.6,morning
LOC03,TARIFA,16/12/2023,23.0,knots,45,27.5,afternoon
LOC09,"Lake Garda, Italy",12 May 2024,7,beaufort,180°,35.9,morning
LOC01,Cumbuco,Feb 03 2023,16.8 knots,knots,west,12.7,allday
LOC10,"Boracay, Philippines",Aug 23 2024,-5.0,knots,SW,14.0,allday
LOC05,"Cape Town, South Africa",03/20/2024,24.0,knots,90,,allday
LOC09,"Lake Garda, Italy",2023-11-23,2,beaufort,225°,10.6,morning
LOC09,Lago di Garda,2024-02-05,18.5 km/h,km/h,315°,12.0,afternoon
LOC04,"Maui, Hawaii",May 28 2023,15.9 knots,knots,SE,18.9,allday
LOC03,TARIFA,Apr 25 2023,6.3 knots,knots,90,8.4,morning
LOC09,Garda,14/12/2023,15.7 knots,knots,north,20.3,morning
LOC04,maui,Mar 08 2024,40.4 km/h,km/h,north,25.7,allday
LOC03,"Tarifa, Spain",23 Sep 2023,16.9,knots,0,19.4,afternoon
LOC03,Tarifa,06/07/2023,49.3 km/h,km/h,135°,31.6,afternoon
LOC07,Dakhla,08 Sep 2024,35.2 km/h,km/h,southwest,23.2,afternoon
LOC09,Lago di Garda,02/01/2023,14.3,knots,270°,18.3,morning
LOC02,Jeri,06/05/2023,19.0,knots,southeast,21.7,allday
LOC06,Cabarete,2023-08-18,22.7,knots,315,29.2,afternoon
LOC08,"Ilha do Guajiru, Brazil",11 Aug 2023,23.7 knots,knots,E,29.0,allday
LOC09,"Lake Garda, Italy",23 Jun 2023,17.3,knots,E,23.9,afternoon
LOC01,cumbuco,30/04/2023,19.9,knots,315°,15.5,allday
LOC07,Dakhla,14 Nov 2023,11.9 m/s,m/s,W,26.9,afternoon
LOC01,cumbuco,17/06/2024,11.5 m/s,m/s,SW,30.4,allday
LOC07,DAKHLA,23/09/2023,10.1 m/s,m/s,225°,22.7,morning
LOC07,"Dakhla, Morocco",31/01/2024,11.7,knots,135°,13.5,morning
LOC06,Cabarete,Sep 13 2023,4.9 knots,knots,0°,4.2,morning
LOC10,"Boracay, Philippines",06 Mar 2024,2,beaufort,135°,12.9,allday
LOC06,cabarete,Jun 11 2023,8.3 m/s,m/s,90°,19.3,afternoon
LOC06,Cabarete,08/04/2024,10.1 m/s,m/s,135,24.5,afternoon
LOC05,"Cape Town, South Africa",Aug 11 2024,4,beaufort,45°,22.5,allday
LOC07,DAKHLA,24/04/2024,27.2 knots,knots,southeast,37.2,afternoon
LOC06,"Cabarete, Dominican Rep.",22 May 2024,16.8,knots,SE,19.9,morning
LOC09,Lago di Garda,02 Oct 2024,15.1,knots,45,19.7,morning
LOC03,TARIFA,04/03/2024,23.7 knots,knots,W,29.4,afternoon
LOC01,"Cumbuco, Brazil",15 Nov 2023,6,beaufort,45,29.7,allday
LOC09,"Lake Garda, Italy",02 Dec 2023,29.3 km/h,km/h,135°,,afternoon
LOC06,"Cabarete, Dominican Rep.",17/10/2023,17.6 km/h,km/h,0°,13.2,morning
LOC07,"Dakhla, Morocco",15 Apr 2023,51.5 km/h,km/h,225°,37.2,afternoon
LOC09,"Lake Garda, Italy",Jun 03 2023,24.6,knots,90,,morning
LOC07,Dakhla,2024-09-13,9.5,knots,270,10.8,morning
LOC01,"Cumbuco, Brazil",30/10/2024,19.3,knots,0,22.2,allday
LOC08,Ilha Guajiru,24 Mar 2024,34.6 km/h,km/h,180°,23.2,allday
LOC04,"Maui, Hawaii",2023-03-06,9.0 knots,knots,45°,10.3,allday
LOC04,"Maui, Hawaii",2023-11-08,30.7 km/h,km/h,180,20.6,allday
LOC01, Cumbuco,Apr 07 2023,18.8 knots,knots,south,23.4,allday
LOC09,Lago di Garda,2024-07-04,18.6,knots,S,24.9,morning
LOC04,Maui,26 Jun 2024,14.1,knots,southeast,9.5,allday
LOC04,maui,06/17/2024,3,beaufort,north,17.1,allday
LOC07,Dakhla,Dec 02 2024,36.9 km/h,km/h,east,24.4,afternoon
LOC09,"Lake Garda, Italy",08 Oct 2023,11.5 knots,knots,90,14.2,afternoon
LOC05,"Cape Town, South Africa",18/11/2023,32.8 knots,knots,north,44.3,allday
LOC06,cabarete,01/07/2024,6.0 knots,knots,SW,7.2,morning
LOC06,"Cabarete, Dominican Rep.",10/09/2024,2,beaufort,southeast,12.2,morning
LOC03,"Tarifa, Spain",Sep 23 2023,4.8 knots,knots,180,5.6,morning
LOC07,Dakhla,08/25/2023,0.0,knots,E,9.8,morning
LOC05,"Cape Town, South Africa",23 Jul 2024,39.1 knots,knots,45°,50.1,allday
LOC04,maui,16/08/2023,5,beaufort,315°,22.3,allday
LOC01, Cumbuco,15/08/2024,10.6 m/s,m/s,315,28.4,allday
LOC06,Cabarete,2024-07-07,6.5 km/h,km/h,225,4.2,morning
LOC08,Ilha Guajiru,03/07/2024,150.0,knots,270°,24.9,allday
LOC09,Garda,31 May 2023,5,beaufort,NE,25.8,morning
LOC03,TARIFA,2024-06-06,12.1,knots,0,13.7,morning
LOC09,"Lake Garda, Italy",Feb 25 2024,17.2 km/h,km/h,180,12.7,morning
LOC03,TARIFA,Feb 24 2024,19.7 knots,knots,90°,13.0,afternoon
LOC07,Dakhla,Apr 11 2024,39.4 km/h,km/h,90,,afternoon
LOC03,"Tarifa, Spain",Apr 02 2023,13.2,knots,south,10.1,afternoon
LOC01, Cumbuco,Sep 09 2023,22.6,knots,east,25.6,allday
LOC09,"Lake Garda, Italy",2023-09-19,2.7 m/s,m/s,southeast,7.4,morning
LOC03,Tarifa,2023-07-05,45.9 km/h,km/h,45°,,afternoon
LOC07,DAKHLA,17/12/2024,9.0 m/s,m/s,N,22.3,afternoon
LOC06,cabarete,2024-01-03,2,beaufort,E,9.4,morning
LOC01,Cumbuco,2023-11-01,9.2 m/s,m/s,northwest,21.1,allday
LOC01,cumbuco,15 Mar 2024,6,beaufort,NE,28.2,allday
LOC02,"Jericoacoara, Brazil",2024-01-12,20.5 knots,knots,northeast,23.7,allday
LOC07,DAKHLA,16 Feb 2023,3,beaufort,west,7.9,morning
LOC06,Cabarete,18 Jan 2023,1,beaufort,270°,5.3,morning
LOC02,Jeri,10/04/2024,38.9 km/h,km/h,180°,23.2,allday
LOC09,Garda,22/01/2023,29.1 km/h,km/h,east,18.9,afternoon
LOC02,Jeri,02/12/2024,41.5 km/h,km/h,SW,15.5,allday
LOC08,"Ilha do Guajiru, Brazil",16/11/2023,19.6,knots,E,21.9,allday
LOC02,"Jericoacoara, Brazil",07/07/2024,11.7 m/s,m/s,SE,31.4,allday
LOC07,"Dakhla, Morocco",Jun 27 2023,22.0,knots,270°,28.9,afternoon
LOC07,Dakhla,10/11/2024,11.3 km/h,km/h,0°,6.7,morning
LOC10,"Boracay, Philippines",26 Dec 2023,20.1,knots,90°,24.0,allday
LOC10,boracay,2024-04-24,6,beaufort,225,25.1,allday
LOC05,"Cape Town, South Africa",07 Mar 2024,28.6,knots,N,33.3,allday
LOC01,cumbuco,2024-03-26,14.9,knots,270°,20.5,allday
LOC07,"Dakhla, Morocco",11/12/2024,5.6 m/s,m/s,270°,12.8,morning
LOC07,"Dakhla, Morocco",2023-04-21,19.7,knots,135°,26.7,afternoon
LOC09,Lago di Garda,26/10/2024,10.4 m/s,m/s,NE,27.6,morning
LOC06,"Cabarete, Dominican Rep.",14 Feb 2023,24.1 knots,knots,45,28.9,afternoon
LOC03,"Tarifa, Spain",28 Apr 2023,13.1 m/s,m/s,northeast,10.2,afternoon
LOC07,DAKHLA,12/05/2024,27.6 km/h,km/h,135,20.4,morning
LOC03,"Tarifa, Spain",Mar 31 2024,6.1 knots,knots,NW,,morning
LOC01,cumbuco,04/18/2023,21.2 knots,knots,270°,29.2,allday
LOC06,"Cabarete, Dominican Rep.",12/02/2024,29.6,knots,NW,41.0,afternoon
LOC06,"Cabarete, Dominican Rep.",05/23/2024,6,beaufort,0,,afternoon
LOC09,Lago di Garda,19/06/2024,37.6 km/h,km/h,180°,25.1,morning
LOC02,jericoacoara,03/07/2023,27.5,knots,0°,36.9,allday
LOC09,"Lake Garda, Italy",Jul 02 2023,12.6 m/s,m/s,315,28.0,morning
LOC09,"Lake Garda, Italy",2023-05-27,6.4 m/s,m/s,180,17.1,afternoon
LOC06,"Cabarete, Dominican Rep.",26/05/2023,45.0 km/h,km/h,270,32.1,afternoon
LOC03,TARIFA,Aug 12 2024,13.7,knots,northeast,15.4,afternoon
LOC06,"Cabarete, Dominican Rep.",06/20/2024,6,beaufort,southeast,24.8,afternoon
LOC09,Garda,22 Feb 2023,5,beaufort,south,26.6,morning
LOC07,DAKHLA,Nov 22 2024,6.8 m/s,m/s,E,15.7,morning
LOC03,"Tarifa, Spain",2024-06-09,22.6 km/h,km/h,0°,15.9,morning
LOC01,"Cumbuco, Brazil",May 02 2024,24.9 knots,knots,northwest,32.0,allday
LOC01,Cumbuco,Aug 13 2024,11.6 m/s,m/s,southeast,26.0,allday
LOC09,Lago di Garda,2024-07-01,13.3,knots,180,15.7,morning
LOC08,Ilha Guajiru,05/03/2024,7,beaufort,225,30.8,allday
LOC06,"Cabarete, Dominican Rep.",Sep 24 2023,6.4,knots,east,8.6,morning
LOC03,TARIFA,07/31/2024,15.7,knots,180,19.8,afternoon
LOC04,maui,18 Sep 2024,12.1 m/s,m/s,NW,29.0,allday
LOC06,"Cabarete, Dominican Rep.",2023-11-04,6.6 knots,knots,S,8.3,morning
LOC07,"Dakhla, Morocco",11/01/2023,28.3 km/h,km/h,45,17.2,morning
LOC03,TARIFA,2024-03-11,13.3 km/h,km/h,southwest,8.5,morning
LOC07,DAKHLA,2024-01-19,13.9 m/s,m/s,W,34.2,afternoon
LOC07,DAKHLA,15/10/2023,21.4,knots,135,25.3,afternoon
LOC01, Cumbuco,31/10/2023,6,beaufort,180,29.5,allday
LOC03,Tarifa,03/22/2023,35.2 km/h,km/h,SW,26.3,afternoon
LOC05,Cape Town,2024-12-09,36.5 km/h,km/h,90°,23.7,allday
LOC03,Tarifa,06/01/2023,3,beaufort,270°,13.1,morning
LOC09,"Lake Garda, Italy",08/10/2024,37.0 km/h,km/h,north,23.6,morning
LOC02,"Jericoacoara, Brazil",05/03/2024,19.7 knots,knots,315°,24.6,allday
LOC02,Jeri,31 Aug 2024,39.8 km/h,km/h,225°,27.2,allday
LOC09,Lago di Garda,18 Nov 2024,49.8 km/h,km/h,north,37.6,morning
LOC06,cabarete,Mar 01 2023,42.4 km/h,km/h,45°,26.5,afternoon
LOC06,"Cabarete, Dominican Rep.",28/05/2024,3.8,knots,SW,4.3,morning
LOC06,cabarete,27 Sep 2023,2.2 m/s,m/s,west,3.7,morning
LOC06,Cabarete,22/03/2023,19.4 km/h,km/h,southeast,13.5,morning
LOC04,"Maui, Hawaii",2023-07-24,16.2,knots,S,22.7,allday
LOC06,"Cabarete, Dominican Rep.",30/01/2023,20.5,knots,135°,24.4,afternoon
LOC04,"Maui, Hawaii",2023-03-28,29.1 km/h,km/h,SW,18.5,allday
LOC01, Cumbuco,31/10/2023,6,beaufort,180,29.5,allday
LOC10,Boracay,Dec 30 2023,150.0,knots,north,16.7,allday
LOC08,Guajiru,06/02/2023,40.4 km/h,km/h,NE,29.3,allday
LOC01,Cumbuco,06/26/2024,0.0,knots,southeast,25.2,allday
LOC05,"Cape Town, South Africa",03/01/2024,4.2,knots,0°,5.1,allday
LOC07,"Dakhla, Morocco",Mar 18 2023,3.7 m/s,m/s,270,8.0,morning
LOC06,"Cabarete, Dominican Rep.",30/09/2023,8.3 km/h,km/h,southwest,5.7,morning
LOC09,"Lake Garda, Italy",10 Dec 2024,6.8 m/s,m/s,90°,15.8,afternoon
LOC06,"Cabarete, Dominican Rep.",15/05/2024,0.0,knots,45°,26.3,afternoon
LOC10,"Boracay, Philippines",2024-12-09,5.5 m/s,m/s,225,8.2,allday
LOC02,"Jericoacoara, Brazil",11 Sep 2024,-5.0,knots,southeast,31.9,allday
LOC02,"Jericoacoara, Brazil",2023-02-04,23.6 knots,knots,S,26.4,allday
LOC06,"Cabarete, Dominican Rep.",16 Nov 2024,-5.0,knots,0°,6.3,morning
LOC03,Tarifa,Dec 11 2024,5,beaufort,northwest,25.8,afternoon
LOC10,boracay,06/27/2024,17.0,knots,225°,20.7,allday
LOC05,Cape Town,26/04/2023,6,beaufort,northwest,15.4,allday
LOC10,boracay,2023-11-01,31.7 km/h,km/h,0°,21.6,allday
LOC06,cabarete,2024-02-22,18.9 knots,knots,west,24.5,afternoon
LOC02,Jeri,30/04/2023,26.7,knots,180°,36.3,allday
LOC06,cabarete,2023-03-05,8.9 knots,knots,east,10.6,morning
LOC09,Garda,20/12/2024,5,beaufort,45,27.1,morning
LOC10,Boracay,2023-10-04,24.3 km/h,km/h,315°,16.1,allday
LOC03,TARIFA,07/02/2023,8.0,knots,west,10.4,morning
LOC03,TARIFA,2023-06-03,8.5 knots,knots,225,10.6,morning
LOC08,Guajiru,Sep 17 2024,42.4 km/h,km/h,SE,29.4,allday
LOC10,boracay,06/03/2023,6,beaufort,270°,26.3,allday
LOC08,Ilha Guajiru,2023-05-09,23.2,knots,E,31.6,allday
LOC02,Jeri,2024-03-01,18.6,knots,135,21.2,allday
LOC04,"Maui, Hawaii",16/02/2024,18.0,knots,0,20.1,allday
LOC08,Guajiru,19 Apr 2023,17.0 knots,knots,0,9.6,allday
LOC02,jericoacoara,08/18/2023,27.6 knots,knots,90,36.8,allday
LOC04,"Maui, Hawaii",Jun 07 2023,3,beaufort,315°,17.2,allday
LOC05,Cape Town,19/11/2023,21.7 km/h,km/h,180,15.6,allday
LOC09,Garda,Nov 27 2024,10.3 m/s,m/s,NW,,morning
LOC08,Guajiru,13/08/2024,18.4,knots,W,20.6,allday
LOC09,Garda,23 Jan 2024,14.9,knots,315°,9.5,morning
LOC02,Jeri,12/23/2024,5,beaufort,W,,allday
LOC08,Ilha Guajiru,2024-04-17,22.4 knots,knots,45,30.3,allday
LOC05,Cape Town,07/31/2023,19.9 knots,knots,east,27.6,allday
LOC06,cabarete,Jul 18 2023,8.8 m/s,m/s,0,23.1,afternoon
LOC07,Dakhla,02/06/2023,22.2 knots,knots,270°,27.1,afternoon
LOC03,TARIFA,2023-07-04,26.9,knots,225°,37.3,afternoon
LOC09,Garda,19/06/2023,5,beaufort,E,14.1,morning
LOC04,"Maui, Hawaii",2024-05-31,50.6 km/h,km/h,135,30.6,allday
LOC03,"Tarifa, Spain",13 Aug 2023,11.2 m/s,m/s,0°,26.0,afternoon
LOC01,Cumbuco,28 Apr 2024,9.9 m/s,m/s,southwest,21.5,allday
LOC09,Lago di Garda,2024-12-24,8.9 m/s,m/s,W,23.3,afternoon
LOC08,"Ilha do Guajiru, Brazil",2024-09-15,23.0 knots,knots,0°,25.6,allday
LOC02,Jeri,04/04/2024,10.2 m/s,m/s,southeast,23.1,allday
LOC07,Dakhla,2024-11-16,12.8 knots,knots,northwest,17.2,morning
LOC08,Ilha Guajiru,2023-04-06,42.8 km/h,km/h,southwest,25.9,allday
LOC01, Cumbuco,22 Mar 2023,5,beaufort,N,23.7,allday
LOC03,"Tarifa, Spain",Dec 13 2023,5,beaufort,S,24.3,afternoon
LOC09,"Lake Garda, Italy",2024-01-05,4,beaufort,south,18.4,morning
LOC03,"Tarifa, Spain",2023-06-23,4.1 m/s,m/s,135°,9.9,morning
LOC06,cabarete,04/01/2024,20.0,knots,270,25.1,afternoon
LOC03,"Tarifa, Spain",03/06/2024,14.3,knots,E,,afternoon
LOC07,"Dakhla, Morocco",29/02/2024,22.0 knots,knots,0°,29.2,afternoon
LOC09,Lago di Garda,25 May 2023,10.5 m/s,m/s,45,27.8,morning
LOC05,"Cape Town, South Africa",16 Feb 2023,26.6 knots,knots,east,31.9,allday
LOC09,"Lake Garda, Italy",06/03/2023,10.4,knots,135°,13.8,afternoon
LOC05,Cape Town,Mar 25 2023,46.3 km/h,km/h,northwest,29.0,allday
LOC09,Lago di Garda,04 Apr 2023,-5.0,knots,north,23.5,morning
LOC07,"Dakhla, Morocco",30/09/2024,6.6 knots,knots,SW,8.6,morning
LOC05,capetown,30 Apr 2024,30.0 km/h,km/h,N,19.5,allday
LOC07,Dakhla,27 Nov 2023,2,beaufort,N,9.4,morning
LOC06,"Cabarete, Dominican Rep.",2023-01-13,7.8 knots,knots,south,10.2,morning
LOC02,Jeri,Jun 07 2024,28.4,knots,north,32.2,allday
LOC06,Cabarete,04 Jul 2024,3.7 m/s,m/s,0°,8.9,morning
LOC02,"Jericoacoara, Brazil",10/19/2023,4,beaufort,180,18.3,allday
LOC06,cabarete,2024-04-12,14.1 km/h,km/h,east,8.8,morning
LOC07,"Dakhla, Morocco",05 Jun 2023,15.9 m/s,m/s,northwest,40.4,afternoon
LOC04,"Maui, Hawaii",03/07/2024,30.7 km/h,km/h,NE,18.5,allday
LOC07,"Dakhla, Morocco",2024-10-12,11.8,knots,northeast,14.3,morning
LOC05,Cape Town,16/09/2023,14.6 knots,knots,90,16.2,allday
LOC10,Boracay,21/06/2024,11.8,knots,west,6.3,allday
LOC07,"Dakhla, Morocco",11/07/2024,4.6 knots,knots,315,6.2,morning
LOC07,"Dakhla, Morocco",Jul 31 2024,2.2 m/s,m/s,north,5.4,morning
LOC02,Jeri,18 Nov 2024,14.1 m/s,m/s,270°,32.6,allday
LOC06,"Cabarete, Dominican Rep.",Oct 27 2023,35.7 km/h,km/h,90°,12.4,afternoon
LOC06,cabarete,21 Jul 2024,7.0,knots,315,8.8,morning
LOC03,"Tarifa, Spain",2023-12-03,29.4 km/h,km/h,0°,17.9,afternoon
LOC08,"Ilha do Guajiru, Brazil",08/10/2024,16.2 knots,knots,NE,22.2,allday
LOC01, Cumbuco,Feb 01 2023,25.6,knots,270,28.6,allday
LOC10,"Boracay, Philippines",04 Dec 2024,14.7 knots,knots,270°,17.7,allday
LOC06,cabarete,24 Oct 2024,11.9 knots,knots,south,13.5,morning
LOC03,TARIFA,Jan 26 2023,3.9 m/s,m/s,W,8.3,morning
LOC07,DAKHLA,2023-04-15,4.4,knots,northwest,5.9,morning
LOC10,Boracay,09/11/2024,19.3,knots,west,15.2,allday
LOC06,cabarete,Jan 05 2023,10.2 m/s,m/s,S,23.7,afternoon
LOC02,jericoacoara,2024-08-22,24.5 knots,knots,southwest,32.7,allday
LOC03,"Tarifa, Spain",Apr 23 2024,10.1 m/s,m/s,south,24.9,afternoon
LOC05,Cape Town,Dec 03 2023,8,beaufort,E,38.4,allday
LOC03,Tarifa,13 Aug 2024,9.5 m/s,m/s,southwest,21.4,afternoon
